"region","species_name","species_qualified","cuid","cu_name_pse","year","estimated_count","observed_count","source_id"
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2001,NA,382,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2002,NA,529,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2003,NA,216,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2004,NA,132,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2005,NA,204,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2006,NA,238,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2007,NA,122,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2008,NA,141,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2009,NA,132,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2010,NA,351,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2011,NA,391,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2012,NA,399,NA
"Fraser","Steelhead","SH",784,"Lower Fraser Summer",2013,NA,512,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1982,NA,57,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1983,NA,280,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1984,NA,489,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1985,NA,461,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1986,NA,374,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1987,NA,224,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1988,NA,267,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1989,NA,138,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1990,NA,98,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1991,NA,83,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1992,NA,75,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1993,NA,62,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1994,NA,134,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1995,NA,107,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1996,NA,264,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1997,NA,122,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1998,NA,85,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",1999,NA,41,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2000,NA,50,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2001,NA,116,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2002,NA,51,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2003,NA,95,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2004,NA,137,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2005,NA,58,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2006,NA,47,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2007,NA,226,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2008,NA,148,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2009,NA,233,NA
"Fraser","Steelhead","SH",785,"Boundary Bay Winter",2010,NA,165,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",1996,173,173,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",1997,111,111,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",1999,162,162,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2000,78,78,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2001,322,322,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2002,440,440,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2003,317,317,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2004,345,345,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2005,336,336,NA
"East Vancouver Island & Mainland Inlets","Steelhead","SH",980,"South Coast Winter",2006,320,320,NA
